name,tweet_volume,nummer
Donald,1539124,9
J'avais,35188,35
WhatsApp,561474,53
Spotify,733882,58
#Adelboden,1,70
#WeHaveAPlan,1,2
Markt,1,82
#climatechange,1,80
Arzt,1,55
Threema,1,78
Umsatz,1,75
Einsatz,1,38
#PMTnein,1,84
Verfügung,1,52
Branchen,1,65
China,508508,92
Tisch,1,15
#fisalpine,1,59
Januar 2021,1,10
Wunder,1,61
Zurich,1,24
Schuhe,1,74
Unterstützung,1,32
Kontext,1,59
Kontakte,1,14
Patienten,1,47
Kunden,1,69
Podcast,161980,74
Pfizer,124661,81
Impfung,1,60
Suisses,1,8
Grafik,1,70
Gegenteil,1,11
Risiko,1,31
Argument,87242,78
Schritt,1,29
Jesus,330809,61
Wirtschaft,1,91
Konzept,1,82
Druck,1,7
Gründen,1,35
Conseil,19274,12
Seiten,1,90
Syria,157385,75
Australia,127209,48
Referendum,30203,16
krankheit,1,85
Liverpool,50709,24
European,57374,71
Wirkung,1,49
